ticker;beginning_date;ending_date
XRP;17/11/2017;06/03/2022
EOS;10/12/2018;06/03/2022
BTC;20/11/2017;29/09/2020
NEO;16/08/2018;20/01/2021
ALGO;02/07/2020;06/03/2022
SNX;19/07/2020;06/03/2022
ETH;15/06/2017;18/01/2019
AAVE;27/10/2020;06/03/2022
BNB;02/01/2021;06/03/2022
BTC;05/01/2021;06/03/2022
DOT;14/01/2021;06/03/2022
XTZ;15/08/2020;01/09/2021
TRX;19/02/2021;06/03/2022
XRP;13/03/2021;06/03/2022
ETH;18/03/2021;06/03/2022
ADA;19/03/2021;06/03/2022
MATIC;13/05/2021;06/03/2022
DOGE;07/06/2021;06/03/2022
KLAY;30/06/2021;06/03/2022
AVAX;19/01/2021;11/09/2021
GRT;17/07/2021;06/03/2022
SAND;28/03/2021;27/10/2021
SOL;07/08/2021;06/03/2022
BNB;04/10/2019;17/04/2020
MANA;25/04/2021;25/10/2021
ATOM;09/09/2021;06/03/2022
VET;15/05/2021;09/11/2021
AVAX;15/09/2021;06/03/2022
ATOM;11/02/2021;13/07/2021
FLOKI;14/10/2021;06/03/2022
MANA;04/11/2021;06/03/2022
OMG;12/11/2021;06/03/2022
LUNA;28/11/2021;06/03/2022
