,avg-block-size,hash-rate,n-transactions,trade-volume,market-cap,median-confirmation-time,difficulty,cost-per-transaction,n-unique-addresses,miners-revenue,transaction-fees-usd
2014-03-04 00:00:00+00:00,0.3573549,26365.611,84600.0,44237590.0,8505305000.0,10.85,3815723800.0,33.873856,201000.0,3372548.8,0.16425374
2014-03-05 00:00:00+00:00,0.28347057,30538.586,72392.0,18874058.0,8399670300.0,8.55,3815723800.0,39.617805,172202.0,3512792.0,0.16211885
2014-03-06 00:00:00+00:00,0.24507277,30728.268,70527.0,8532290.0,8370223000.0,7.9333334,3815723800.0,43.349743,169426.0,3414702.5,0.1545505
2014-03-07 00:00:00+00:00,0.24904417,31676.67,72345.0,6950375.0,8351876600.0,7.2,3815723800.0,45.67337,156936.0,4662566.0,0.17991318
2014-03-08 00:00:00+00:00,0.21109442,33194.117,64590.0,13570696.0,7892433000.0,6.2166667,3815723800.0,49.286655,149419.0,4085716.0,0.14523134
2014-03-09 00:00:00+00:00,0.19977196,31107.629,62161.0,6031839.5,7775102500.0,7.0833335,3815723800.0,48.202835,149990.0,3384947.8,0.13732542
2014-03-10 00:00:00+00:00,0.2781788,31297.309,70884.0,5815852.5,7996658000.0,8.233334,3815723800.0,37.194427,171342.0,2907116.5,0.16321076
2014-03-11 00:00:00+00:00,0.25141162,31866.352,76204.0,8456225.0,7867029500.0,8.0,3815723800.0,37.55915,155145.0,3693754.5,0.15975548
2014-03-12 00:00:00+00:00,0.23956187,31866.352,76339.0,5794220.5,7904473000.0,11.266666,3815723800.0,40.174744,166882.0,3456434.0,0.15050054
2014-03-13 00:00:00+00:00,0.25682077,35706.23,72805.0,8089733.0,7942772000.0,13.566667,4250218000.0,41.471333,163734.0,4140207.5,0.17900722
2014-03-14 00:00:00+00:00,0.30585596,29367.848,70615.0,4313170.5,8020970500.0,12.433333,4250218000.0,30.792189,135298.0,2236559.8,0.12815991
2014-03-15 00:00:00+00:00,0.1860972,36973.91,60308.0,5469467.0,7890824000.0,10.733334,4250218000.0,45.12184,120614.0,2859867.2,0.11966594
2014-03-16 00:00:00+00:00,0.16749045,33382.156,59332.0,1403979.9,7978886700.0,14.866667,4250218000.0,58.75285,120423.0,4518329.0,0.16611683
2014-03-17 00:00:00+00:00,0.2115398,37607.746,66396.0,2090545.9,7953332000.0,11.4,4250218000.0,42.488785,162111.0,3263903.5,0.14428347
2014-03-18 00:00:00+00:00,0.17549315,30635.525,54142.0,0.0,7826956300.0,8.016666,4250218000.0,44.598274,118351.0,2567790.2,0.1196724
2014-03-19 00:00:00+00:00,0.22287703,32748.318,73804.0,9180273.0,7713783300.0,8.116667,4250218000.0,35.538296,141597.0,2778419.8,0.118078224
2014-03-20 00:00:00+00:00,0.21665493,35283.67,71002.0,4331269.0,7662567000.0,7.9166665,4250218000.0,41.918728,136364.0,3294476.8,0.13065512
2014-03-21 00:00:00+00:00,0.2342275,38241.586,73091.0,6382524.5,7344301000.0,7.116667,4250218000.0,40.261513,157457.0,3641291.5,0.14463612
2014-03-22 00:00:00+00:00,0.24303193,37185.188,66673.0,12836786.0,7187448300.0,6.8,4250218000.0,38.725967,135217.0,2932911.2,0.16756603
2014-03-23 00:00:00+00:00,0.14491457,43312.293,57811.0,7669603.5,7066203000.0,6.3166666,4250218000.0,59.646023,126956.0,4060999.5,0.12674841
2014-03-24 00:00:00+00:00,0.2173013,42044.617,70983.0,3383113.2,7025469000.0,6.65,4250218000.0,40.917694,169414.0,3225419.0,0.113603935
2014-03-25 00:00:00+00:00,0.24653532,37582.75,71883.0,8031253.0,7354937000.0,8.666667,5006861000.0,32.099525,143947.0,2453784.2,0.12503192
2014-03-26 00:00:00+00:00,0.24373876,39324.996,68315.0,4709236.0,7359879000.0,8.266666,5006861000.0,36.14605,146839.0,2924721.5,0.152475
2014-03-27 00:00:00+00:00,0.23886195,41565.027,71719.0,6001943.5,7270677000.0,7.6,5006861000.0,41.26205,160637.0,3523696.8,0.12980118
2014-03-28 00:00:00+00:00,0.22006659,45547.31,67079.0,22649552.0,5961893000.0,7.133333,5006861000.0,32.638653,158001.0,2543758.8,0.101206094
2014-03-29 00:00:00+00:00,0.17392118,42560.598,53250.0,17766056.0,6283387400.0,7.25,5006861000.0,44.080467,127427.0,2503197.5,0.0976073
2014-03-30 00:00:00+00:00,0.23115377,37084.965,56467.0,3669546.2,6164586500.0,7.7,5006861000.0,32.679317,147993.0,2014745.4,0.101747885
2014-03-31 00:00:00+00:00,0.20937543,41813.92,65448.0,14381633.0,5772164600.0,7.9166665,5006861000.0,35.401653,148468.0,2793367.5,0.10707828
2014-04-01 00:00:00+00:00,0.21802132,44551.74,64136.0,9510860.0,5759444000.0,7.233333,5006861000.0,31.32329,155429.0,2190657.0,0.095767304
2014-04-02 00:00:00+00:00,0.19713785,46045.094,66862.0,11069067.0,6032412000.0,6.8,5006861000.0,36.82808,153963.0,3145560.0,0.12129314
2014-04-03 00:00:00+00:00,0.17445076,51769.617,67075.0,15131201.0,5532416500.0,5.8333335,5006861000.0,37.1457,125717.0,2761931.2,0.09621078
2014-04-04 00:00:00+00:00,0.19805996,50027.37,65692.0,12067476.0,5655587000.0,5.4666667,5006861000.0,35.372025,154707.0,2485627.5,0.09817767
2014-04-05 00:00:00+00:00,0.19205746,54454.168,55795.0,7135073.0,5698991600.0,6.3333335,6119726000.0,38.229767,131344.0,2752161.0,0.11221259
2014-04-06 00:00:00+00:00,0.21244985,43198.277,50010.0,2941240.0,5839554600.0,9.266666,6119726000.0,34.899815,167245.0,2355982.0,0.12511289
2014-04-07 00:00:00+00:00,0.2437021,44415.133,65810.0,2459524.0,5778226700.0,9.1,6119726000.0,28.370068,136394.0,2217546.2,0.11694839
2014-04-08 00:00:00+00:00,0.29268017,47457.266,67841.0,3331199.5,5678750700.0,8.066667,6119726000.0,23.376686,142384.0,1829950.4,0.11041855
2014-04-09 00:00:00+00:00,0.24382423,44110.918,65153.0,2665800.8,5718429700.0,8.216666,6119726000.0,29.064533,153632.0,2150368.5,0.15261915
2014-04-10 00:00:00+00:00,0.25441635,53237.316,68027.0,3539452.8,5580405000.0,7.483333,6119726000.0,28.843668,159374.0,2604842.8,0.12501006
2014-04-11 00:00:00+00:00,0.22373779,45327.773,65732.0,18230234.0,4661011500.0,9.016666,6119726000.0,24.24097,148338.0,1749131.4,0.08529212
2014-04-12 00:00:00+00:00,0.17004623,48674.117,47740.0,17919546.0,5349913600.0,7.2833333,6119726000.0,39.065372,112455.0,2110702.2,0.08980191
2014-04-13 00:00:00+00:00,0.16234215,60538.434,51168.0,4624978.5,5351366700.0,7.0,6119726000.0,40.352253,156895.0,2407657.5,0.098356
2014-04-14 00:00:00+00:00,0.21612982,55366.81,70219.0,4588060.0,5280181000.0,6.7833333,6119726000.0,34.02901,158066.0,2731917.0,0.10264205
2014-04-15 00:00:00+00:00,0.24162108,59321.582,72809.0,15471147.0,5814155000.0,6.4333334,6119726000.0,31.461496,156359.0,2905406.2,0.13287155
2014-04-16 00:00:00+00:00,0.27106634,45327.773,68594.0,17021804.0,6617884000.0,8.933333,6119726000.0,33.637924,149841.0,2689251.0,0.12939991
2014-04-17 00:00:00+00:00,0.22371335,60364.105,65190.0,16183544.0,6661624300.0,7.0,6978842600.0,36.24388,131868.0,2706077.0,0.13561384
2014-04-18 00:00:00+00:00,0.20556027,54119.543,56996.0,10007498.0,6308121000.0,9.383333,6978842600.0,40.416473,128648.0,2772368.0,0.12909663
2014-04-19 00:00:00+00:00,0.19331913,56547.984,53515.0,5372537.5,6106323000.0,8.133333,6978842600.0,39.91419,118692.0,2478551.5,0.14458835
2014-04-20 00:00:00+00:00,0.169593,58976.426,49043.0,5182862.5,6383161000.0,7.9,6978842600.0,51.11414,147204.0,2903129.8,0.12804687
2014-04-21 00:00:00+00:00,0.19069842,61404.867,58110.0,2914052.8,6356738600.0,7.15,6978842600.0,38.86248,121759.0,2803733.8,0.13161491
2014-04-22 00:00:00+00:00,0.2881225,53425.703,78042.0,4176593.8,6318685000.0,8.55,6978842600.0,25.08551,162297.0,2101338.0,0.10432814
2014-04-23 00:00:00+00:00,0.2420349,60711.027,73954.0,4121418.5,6195641300.0,7.6,6978842600.0,27.933985,135242.0,2928738.8,0.13294281
2014-04-24 00:00:00+00:00,0.27983737,50997.26,72694.0,2843648.0,6241608700.0,9.283334,6978842600.0,28.430521,135134.0,2506179.0,0.1283412
