Datetime,BTC
2014-03-04 00:00:00+00:00,0.83
2014-03-05 00:00:00+00:00,0.95
2014-03-06 00:00:00+00:00,0.83
2014-03-07 00:00:00+00:00,0.92
2014-03-08 00:00:00+00:00,0.81
2014-03-09 00:00:00+00:00,0.68
2014-03-10 00:00:00+00:00,1.0
2014-03-11 00:00:00+00:00,0.85
2014-03-12 00:00:00+00:00,0.85
2014-03-13 00:00:00+00:00,0.76
2014-03-14 00:00:00+00:00,0.6
2014-03-15 00:00:00+00:00,0.57
2014-03-16 00:00:00+00:00,0.54
2014-03-17 00:00:00+00:00,0.61
2014-03-18 00:00:00+00:00,0.64
2014-03-19 00:00:00+00:00,0.67
2014-03-20 00:00:00+00:00,0.63
2014-03-21 00:00:00+00:00,0.71
2014-03-22 00:00:00+00:00,0.53
2014-03-23 00:00:00+00:00,0.51
2014-03-24 00:00:00+00:00,0.63
2014-03-25 00:00:00+00:00,0.65
2014-03-26 00:00:00+00:00,0.71
2014-03-27 00:00:00+00:00,0.84
2014-03-28 00:00:00+00:00,0.72
2014-03-29 00:00:00+00:00,0.54
2014-03-30 00:00:00+00:00,0.58
2014-03-31 00:00:00+00:00,0.63
2014-04-01 00:00:00+00:00,0.76
2014-04-02 00:00:00+00:00,0.8
2014-04-03 00:00:00+00:00,0.88
2014-04-04 00:00:00+00:00,0.86
2014-04-05 00:00:00+00:00,0.68
2014-04-06 00:00:00+00:00,0.65
2014-04-07 00:00:00+00:00,0.8
2014-04-08 00:00:00+00:00,0.75
2014-04-09 00:00:00+00:00,0.77
2014-04-10 00:00:00+00:00,0.79
2014-04-11 00:00:00+00:00,0.73
2014-04-12 00:00:00+00:00,0.72
2014-04-13 00:00:00+00:00,0.63
2014-04-14 00:00:00+00:00,0.77
2014-04-15 00:00:00+00:00,0.75
2014-04-16 00:00:00+00:00,1.0
2014-04-17 00:00:00+00:00,0.8
2014-04-18 00:00:00+00:00,0.68
2014-04-19 00:00:00+00:00,0.7
2014-04-20 00:00:00+00:00,0.6
2014-04-21 00:00:00+00:00,0.74
2014-04-22 00:00:00+00:00,0.68
2014-04-23 00:00:00+00:00,0.77
2014-04-24 00:00:00+00:00,0.69
2014-04-25 00:00:00+00:00,0.81
2014-04-26 00:00:00+00:00,0.66
2014-04-27 00:00:00+00:00,0.65
2014-04-28 00:00:00+00:00,0.73
2014-04-29 00:00:00+00:00,0.65
2014-04-30 00:00:00+00:00,0.81
2014-05-01 00:00:00+00:00,0.63
2014-05-02 00:00:00+00:00,0.6
2014-05-03 00:00:00+00:00,0.59
2014-05-04 00:00:00+00:00,0.56
2014-05-05 00:00:00+00:00,0.71
2014-05-06 00:00:00+00:00,0.66
2014-05-07 00:00:00+00:00,0.62
2014-05-08 00:00:00+00:00,0.73
2014-05-09 00:00:00+00:00,0.66
2014-05-10 00:00:00+00:00,0.55
2014-05-11 00:00:00+00:00,0.6
2014-05-12 00:00:00+00:00,0.59
2014-05-13 00:00:00+00:00,0.61
2014-05-14 00:00:00+00:00,0.7
2014-05-15 00:00:00+00:00,0.64
2014-05-16 00:00:00+00:00,0.72
2014-05-17 00:00:00+00:00,0.75
2014-05-18 00:00:00+00:00,0.61
2014-05-19 00:00:00+00:00,0.62
2014-05-20 00:00:00+00:00,0.64
2014-05-21 00:00:00+00:00,0.64
2014-05-22 00:00:00+00:00,0.68
2014-05-23 00:00:00+00:00,1.0
2014-05-24 00:00:00+00:00,0.97
2014-05-25 00:00:00+00:00,0.92
2014-05-26 00:00:00+00:00,0.93
2014-05-27 00:00:00+00:00,0.86
2014-05-28 00:00:00+00:00,0.78
