Datetime,EOS
2014-03-08 00:00:00+00:00,76.36
2014-03-09 00:00:00+00:00,83.0
2014-03-10 00:00:00+00:00,73.04
2014-03-11 00:00:00+00:00,71.38
2014-03-12 00:00:00+00:00,67.23
2014-03-13 00:00:00+00:00,63.91
2014-03-14 00:00:00+00:00,68.89
2014-03-15 00:00:00+00:00,75.53
2014-03-16 00:00:00+00:00,74.7
2014-03-17 00:00:00+00:00,73.04
2014-03-18 00:00:00+00:00,69.72
2014-03-19 00:00:00+00:00,69.72
2014-03-20 00:00:00+00:00,77.19
2014-03-21 00:00:00+00:00,68.89
2014-03-22 00:00:00+00:00,73.87
2014-03-23 00:00:00+00:00,75.53
2014-03-24 00:00:00+00:00,78.02
2014-03-25 00:00:00+00:00,72.21
2014-03-26 00:00:00+00:00,75.53
2014-03-27 00:00:00+00:00,73.04
2014-03-28 00:00:00+00:00,67.23
2014-03-29 00:00:00+00:00,75.53
2014-03-30 00:00:00+00:00,77.19
2014-03-31 00:00:00+00:00,73.87
2014-04-01 00:00:00+00:00,70.55
2014-04-02 00:00:00+00:00,71.4
2014-04-03 00:00:00+00:00,73.95
2014-04-04 00:00:00+00:00,72.25
2014-04-05 00:00:00+00:00,77.35
2014-04-06 00:00:00+00:00,83.3
2014-04-07 00:00:00+00:00,77.35
2014-04-08 00:00:00+00:00,70.55
2014-04-09 00:00:00+00:00,71.4
2014-04-10 00:00:00+00:00,73.1
2014-04-11 00:00:00+00:00,73.1
2014-04-12 00:00:00+00:00,79.9
2014-04-13 00:00:00+00:00,85.0
2014-04-14 00:00:00+00:00,74.8
2014-04-15 00:00:00+00:00,73.95
2014-04-16 00:00:00+00:00,76.5
2014-04-17 00:00:00+00:00,76.5
2014-04-18 00:00:00+00:00,75.65
2014-04-19 00:00:00+00:00,73.1
2014-04-20 00:00:00+00:00,82.45
2014-04-21 00:00:00+00:00,85.0
2014-04-22 00:00:00+00:00,74.8
2014-04-23 00:00:00+00:00,71.4
2014-04-24 00:00:00+00:00,72.25
2014-04-25 00:00:00+00:00,70.55
2014-04-26 00:00:00+00:00,72.25
2014-04-27 00:00:00+00:00,81.6
2014-04-28 00:00:00+00:00,78.2
2014-04-29 00:00:00+00:00,68.85
2014-04-30 00:00:00+00:00,71.4
2014-05-01 00:00:00+00:00,78.32
2014-05-02 00:00:00+00:00,80.08
2014-05-03 00:00:00+00:00,81.84
2014-05-04 00:00:00+00:00,80.08
2014-05-05 00:00:00+00:00,74.8
2014-05-06 00:00:00+00:00,77.44
2014-05-07 00:00:00+00:00,73.92
2014-05-08 00:00:00+00:00,81.84
2014-05-09 00:00:00+00:00,83.6
2014-05-10 00:00:00+00:00,86.24
2014-05-11 00:00:00+00:00,86.24
2014-05-12 00:00:00+00:00,77.44
2014-05-13 00:00:00+00:00,75.68
2014-05-14 00:00:00+00:00,73.92
2014-05-15 00:00:00+00:00,72.16
2014-05-16 00:00:00+00:00,69.52
2014-05-17 00:00:00+00:00,75.68
2014-05-18 00:00:00+00:00,88.0
2014-05-19 00:00:00+00:00,80.08
2014-05-20 00:00:00+00:00,76.56
2014-05-21 00:00:00+00:00,67.76
2014-05-22 00:00:00+00:00,74.8
2014-05-23 00:00:00+00:00,77.44
2014-05-24 00:00:00+00:00,80.08
2014-05-25 00:00:00+00:00,85.36
2014-05-26 00:00:00+00:00,80.96
2014-05-27 00:00:00+00:00,74.8
2014-05-28 00:00:00+00:00,70.4
2014-05-29 00:00:00+00:00,71.28
2014-05-30 00:00:00+00:00,69.52
2014-05-31 00:00:00+00:00,80.08
2014-06-01 00:00:00+00:00,74.8
2014-06-02 00:00:00+00:00,66.88
2014-06-03 00:00:00+00:00,69.52
2014-06-04 00:00:00+00:00,66.0
2014-06-05 00:00:00+00:00,66.0
2014-06-06 00:00:00+00:00,69.52
2014-06-07 00:00:00+00:00,71.28
2014-06-08 00:00:00+00:00,73.04
2014-06-09 00:00:00+00:00,67.76
2014-06-10 00:00:00+00:00,70.4
2014-06-11 00:00:00+00:00,78.32
