Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-11-21 00:00:00,18655.66000000,18759.00000000,18620.46000000,18756.00000000,1496.42473800,2020-11-21 00:29:59.999,27982201.87051395,31386,766.05072800,14327609.90273394,0
2020-11-21 00:30:00,18756.00000000,18862.63000000,18713.39000000,18860.56000000,2127.62775900,2020-11-21 00:59:59.999,39952649.76664284,31103,1194.57629800,22436171.73754349,0
2020-11-21 01:00:00,18860.56000000,18909.29000000,18770.69000000,18889.98000000,2672.65641200,2020-11-21 01:29:59.999,50391874.50476097,38956,1463.55821200,27598257.44083683,0
2020-11-21 01:30:00,18889.99000000,18894.00000000,18821.51000000,18830.42000000,1051.05224200,2020-11-21 01:59:59.999,19820014.58546177,21761,519.57811700,9798245.48410254,0
2020-11-21 02:00:00,18830.45000000,18965.90000000,18825.50000000,18952.05000000,1897.38546900,2020-11-21 02:29:59.999,35904058.33050813,32216,1161.36232800,21977894.13562721,0
2020-11-21 02:30:00,18952.45000000,18955.82000000,18629.61000000,18739.96000000,3152.93881700,2020-11-21 02:59:59.999,59259165.72011659,44580,1201.69955300,22580761.82951562,0
2020-11-21 03:00:00,18740.62000000,18811.10000000,18655.00000000,18781.38000000,1463.48163500,2020-11-21 03:29:59.999,27454482.90801039,23723,698.34994500,13099869.11675970,0
2020-11-21 03:30:00,18781.37000000,18813.74000000,18631.00000000,18659.48000000,1688.06886800,2020-11-21 03:59:59.999,31584653.79289940,23821,787.39897200,14734081.79434225,0
2020-11-21 04:00:00,18659.47000000,18659.83000000,18444.74000000,18577.99000000,2778.28537600,2020-11-21 04:29:59.999,51537781.35671695,41864,1177.25052100,21835534.45656391,0
2020-11-21 04:30:00,18578.00000000,18624.10000000,18523.13000000,18579.21000000,1063.74276800,2020-11-21 04:59:59.999,19767477.08693588,18796,490.62581900,9117264.65976895,0
2020-11-21 05:00:00,18579.21000000,18661.00000000,18550.77000000,18621.43000000,962.09835500,2020-11-21 05:29:59.999,17903963.96012431,19876,440.06882100,8188629.59806192,0
2020-11-21 05:30:00,18621.44000000,18680.00000000,18557.92000000,18652.44000000,909.99254300,2020-11-21 05:59:59.999,16944122.35406692,18950,474.33748100,8832770.95318321,0
2020-11-21 06:00:00,18652.44000000,18728.21000000,18623.53000000,18690.67000000,1107.12871300,2020-11-21 06:29:59.999,20691828.77413742,21481,541.90921700,10127820.93274279,0
2020-11-21 06:30:00,18690.68000000,18695.72000000,18600.00000000,18628.14000000,1108.03321400,2020-11-21 06:59:59.999,20668274.23591161,21833,492.01175700,9178031.08860852,0
2020-11-21 07:00:00,18628.14000000,18733.14000000,18600.13000000,18724.02000000,1031.25549700,2020-11-21 07:29:59.999,19251229.60822577,20070,520.38391900,9715058.88964208,0
