Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-11-29,17719.84000000,19888.00000000,17517.00000000,18764.96000000,298491.24584300,2020-12-01 23:59:59.999,5648743253.19905652,4909240,152722.79309700,2892514051.62284525,0
2020-12-02,18764.96000000,19598.00000000,18330.00000000,18650.52000000,213884.07295700,2020-12-04 23:59:59.999,4081523630.67815334,4095521,102653.48581100,1960429924.78917529,0
2020-12-05,18650.51000000,19420.91000000,18500.00000000,19166.90000000,121338.13672700,2020-12-07 23:59:59.999,2316522036.39766607,2593460,59251.47395800,1131555807.08048579,0
2020-12-08,19166.90000000,19294.84000000,17650.00000000,18254.63000000,194103.17650900,2020-12-10 23:59:59.999,3576938270.46985034,3336808,90224.99586600,1662947694.55166141,0
2020-12-11,18254.81000000,19411.00000000,17572.33000000,19174.99000000,178691.52443500,2020-12-13 23:59:59.999,3300155052.30893736,2947642,89844.78621900,1661546019.25604026,0
2020-12-14,19174.99000000,21560.00000000,19000.00000000,21335.52000000,223397.90287500,2020-12-16 23:59:59.999,4427599174.30723813,3547940,115096.88662500,2284249811.91355342,0
2020-12-17,21335.52000000,24171.47000000,21230.00000000,23821.61000000,350573.67574000,2020-12-19 23:59:59.999,8036490807.60734249,6087470,173477.81873500,3976424237.00032697,0
2020-12-20,23821.60000000,24295.00000000,21815.00000000,23810.79000000,251753.56908800,2020-12-22 23:59:59.999,5857066988.90280579,4833451,121788.48816900,2835012794.03298599,0
2020-12-23,23810.79000000,24789.86000000,22600.00000000,24712.47000000,267581.03755400,2020-12-25 23:59:59.999,6319848567.81638764,5120294,133668.40144400,3159058766.53964522,0
2020-12-26,24712.47000000,28422.00000000,24500.00000000,27079.41000000,325983.84209600,2020-12-28 23:59:59.999,8677268557.63195787,5682271,160383.72017700,4267976045.43615684,0
2020-12-29,27079.42000000,29300.00000000,25880.00000000,28923.63000000,240276.15558400,2020-12-31 23:59:59.999,6709170582.64857943,5074054,118766.45104700,3317220824.04244050,0
2021-01-01,28923.63000000,34778.11000000,28624.57000000,33000.05000000,305134.36512300,2021-01-03 23:59:59.999,9713967578.32543031,5930530,154652.43984200,4917010902.36409618,0
2021-01-04,33000.05000000,36939.21000000,28130.00000000,36769.36000000,384089.08403800,2021-01-06 23:59:59.999,12604581742.86187455,7761042,191833.13863700,6300262972.88008647,0
2021-01-07,36769.36000000,41950.00000000,36300.00000000,40088.22000000,348401.63761100,2021-01-09 23:59:59.999,13685792181.27651362,7738474,169362.58426100,6659549391.38710111,0
2021-01-10,40088.22000000,41350.00000000,30420.00000000,34051.24000000,501289.23644200,2021-01-12 23:59:59.999,17682216923.73119706,9733646,242683.06105900,8555825658.60338062,0
2021-01-13,34049.15000000,40100.00000000,32380.00000000,36742.22000000,345729.22527500,2021-01-15 23:59:59.999,12669292143.24635113,7372556,172983.53961800,6336039097.18177375,0
2021-01-16,36737.43000000,37950.00000000,33850.00000000,36631.27000000,237204.27764200,2021-01-18 23:59:59.999,8576786636.91434752,5634771,117555.56834500,4255155942.02908789,0
2021-01-19,36622.46000000,37850.00000000,30071.00000000,30850.13000000,300782.91361300,2021-01-21 23:59:59.999,10343290166.80042020,6994662,143057.27722000,4926915499.50119923,0
2021-01-22,30851.99000000,33826.53000000,28850.00000000,32259.90000000,265545.00969000,2021-01-24 23:59:59.999,8437003833.14641097,5936153,130657.08378000,4153996867.06785240,0
2021-01-25,32259.45000000,34875.00000000,29241.72000000,30366.15000000,269383.39554200,2021-01-27 23:59:59.999,8625386074.69976873,6182893,133556.21868700,4281189918.47925420,0
2021-01-28,30362.19000000,38531.90000000,29842.10000000,34262.88000000,409337.83258300,2021-01-30 23:59:59.999,14033646613.23222693,8665049,205023.49727200,7032878590.77603469,0
2021-01-31,34262.89000000,35984.33000000,32171.67000000,35466.24000000,229517.21714600,2021-02-02 23:59:59.999,7797739600.08122644,5307228,113552.85195000,3860452482.88556865,0
2021-02-03,35472.71000000,38708.27000000,35362.38000000,38290.24000000,239546.40383600,2021-02-05 23:59:59.999,8913180102.08918440,5946859,118135.67378100,4396671939.86959392,0
2021-02-06,38289.32000000,46794.45000000,37351.00000000,46374.87000000,321718.52786000,2021-02-08 23:59:59.999,13060153509.80446087,7498964,165125.79388900,6708977494.35226207,0
2021-02-09,46374.86000000,48678.90000000,43727.00000000,47969.51000000,302215.12536600,2021-02-11 23:59:59.999,14003536462.67918750,8581575,151539.88681800,7028018198.00171357,0
2021-02-12,47968.66000000,49707.43000000,46125.00000000,48577.79000000,223373.60862900,2021-02-14 23:59:59.999,10673090405.22055389,6567734,111589.50567500,5336978239.98425707,0
2021-02-15,48580.47000000,52618.74000000,45570.79000000,52119.71000000,253955.06090000,2021-02-17 23:59:59.999,12498034353.17238752,7027378,128840.41474000,6349875496.04980559,0
2021-02-18,52117.67000000,57700.46000000,50710.20000000,55841.19000000,221366.03028800,2021-02-20 23:59:59.999,11953031765.02298699,6873653,108085.44514300,5835936824.50881521,0
2021-02-21,55841.19000000,58352.80000000,44892.56000000,48891.00000000,361561.16850600,2021-02-23 23:59:59.999,18747224115.02807277,9088812,175647.89405600,9112519534.77569843,0
2021-02-24,48891.00000000,52041.73000000,44106.78000000,46276.87000000,284615.08303600,2021-02-26 23:59:59.999,13812596262.25576575,6871977,139988.28421200,6798825317.03699171,0
2021-02-27,46276.88000000,49790.00000000,43000.00000000,49587.03000000,234202.31498200,2021-03-01 23:59:59.999,10871773198.87128130,5743288,115292.18585800,5355376243.16628597,0
2021-03-02,49595.76000000,52640.00000000,47047.60000000,48374.09000000,227906.69267400,2021-03-04 23:59:59.999,11309830568.30691507,6389650,112602.38436400,5590687823.62654556,0
2021-03-05,48374.09000000,51450.03000000,46300.00000000,50971.75000000,177826.75864600,2021-03-07 23:59:59.999,8649919719.57793980,5288791,87704.52295800,4268173764.91865763,0
2021-03-08,50959.11000000,57387.69000000,49274.67000000,55851.59000000,223393.33568300,2021-03-10 23:59:59.999,11962496459.05018998,6841083,111258.85806100,5959818864.65690079,0
2021-03-11,55851.59000000,61844.00000000,54272.82000000,61188.39000000,238565.31025200,2021-03-13 23:59:59.999,13707804380.62703687,7558903,120793.62304800,6950711934.34133074,0
2021-03-14,61188.38000000,61724.79000000,53271.34000000,56900.75000000,233359.17440300,2021-03-16 23:59:59.999,13354897833.62311453,6754792,112976.20689000,6467069454.58364813,0
2021-03-17,56900.74000000,60129.97000000,54123.69000000,58030.01000000,189394.68047700,2021-03-19 23:59:59.999,10914589881.30202343,6131073,92618.63690900,5339427297.31136717,0
2021-03-20,58030.01000000,59880.00000000,53650.00000000,54083.25000000,155623.03821900,2021-03-22 23:59:59.999,8918237737.00104804,5425022,76610.44742700,4391592264.96928247,0
2021-03-23,54083.25000000,57200.00000000,50427.56000000,51293.78000000,230727.36498600,2021-03-25 23:59:59.999,12384137573.82178312,6241762,111833.93754000,6005460399.21310350,0
2021-03-26,51293.78000000,56700.36000000,51214.60000000,55777.63000000,152969.63725800,2021-03-28 23:59:59.999,8342883646.05878493,4853209,75825.21964400,4135250906.54664817,0
2021-03-29,55777.65000000,59800.00000000,54800.01000000,58740.55000000,183955.92318600,2021-03-31 23:59:59.999,10675051300.99425194,5524405,92990.14442300,5398435624.49641156,0
2021-04-01,58739.46000000,60200.00000000,56880.00000000,57051.94000000,142207.88811400,2021-04-03 23:59:59.999,8383550327.37637792,4867592,69719.91890700,4111505692.34495380,0
2021-04-04,57051.95000000,59495.24000000,56388.00000000,57991.15000000,149773.09849000,2021-04-06 23:59:59.999,8702265332.04287580,5495503,74577.82472300,4334007455.91211151,0
2021-04-07,57990.03000000,58894.90000000,55473.00000000,58142.54000000,156343.43758900,2021-04-09 23:59:59.999,8963414396.32652592,5483475,77253.50712100,4430244261.28255682,0
2021-04-10,58142.55000000,61500.00000000,57900.01000000,59860.00000000,167438.17662500,2021-04-12 23:59:59.999,10052214346.95848164,6022798,84461.89749800,5071796312.60794616,0
2021-04-13,59860.01000000,64854.00000000,59805.15000000,63159.98000000,217114.73307900,2021-04-15 23:59:59.999,13642890341.83977620,7287388,107361.07893400,6747198627.07079327,0
2021-04-16,63158.74000000,63520.61000000,50931.30000000,56150.01000000,275558.52783600,2021-04-18 23:59:59.999,16202374207.71969453,8352845,131360.91406200,7722426130.98029707,0
2021-04-19,56150.01000000,57526.81000000,53329.96000000,53787.63000000,217958.28132700,2021-04-21 23:59:59.999,12140870550.96397278,6674293,106070.90419900,5908599598.09580111,0
2021-04-22,53787.62000000,55521.48000000,47500.00000000,50047.84000000,292248.92462900,2021-04-24 23:59:59.999,14928162177.66467361,6797843,141102.62573000,7210745790.30038775,0
2021-04-25,50047.84000000,55460.00000000,46930.00000000,55011.97000000,198630.48180300,2021-04-27 23:59:59.999,10373266146.95169634,5218689,96582.34277200,5044028179.55981602,0
2021-04-28,55011.97000000,57963.00000000,52330.94000000,57694.27000000,176195.38851500,2021-04-30 23:59:59.999,9651650495.72209853,5861366,87735.90641100,4807966619.17203957,0
2021-05-01,57697.25000000,58981.44000000,56035.25000000,57169.39000000,137063.16198500,2021-05-03 23:59:59.999,7887710727.90952840,5216779,67283.75759500,3872210778.61114606,0
2021-05-04,57169.39000000,58360.00000000,52900.00000000,56393.68000000,232770.22125000,2021-05-06 23:59:59.999,13025685888.18950900,7330629,114008.06290500,6382544297.28404296,0
2021-05-07,56393.68000000,59500.00000000,55241.63000000,58240.84000000,214058.77376700,2021-05-09 23:59:59.999,12362481020.96943537,6843209,105508.35217900,6095011561.75884424,0
2021-05-10,58240.83000000,59500.00000000,48600.00000000,49631.32000000,253758.67963600,2021-05-12 23:59:59.999,14190928387.83962431,7163725,122238.63136900,6843174732.28378233,0
2021-05-13,49537.15000000,51483.00000000,46000.00000000,46762.99000000,316851.65578600,2021-05-15 23:59:59.999,15670375450.52666936,7953157,151184.05068500,7479200933.36833105,0
2021-05-16,46762.99000000,49795.89000000,42001.00000000,42849.78000000,397906.84629500,2021-05-18 23:59:59.999,17860923422.59766002,8439281,190110.73786800,8535275931.64692083,0
2021-05-19,42849.78000000,43584.90000000,30000.00000000,37252.01000000,759465.72834200,2021-05-21 23:59:59.999,29210938612.32214635,14594296,362440.90513000,13961427816.54367079,0
