Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-11-23,560.03000000,623.00000000,481.00000000,576.30000000,10429209.47146000,2020-11-29 23:59:59.999,5803313677.30159630,5139669,5179185.26085000,2883752991.76454380,0
2020-11-30,576.32000000,635.70000000,560.00000000,601.54000000,8027609.54695000,2020-12-06 23:59:59.999,4791088231.23418000,4164747,3991826.60519000,2384277042.03223900,0
2020-12-07,601.59000000,603.15000000,530.43000000,590.70000000,4909009.26296000,2020-12-13 23:59:59.999,2777420915.59506450,2763601,2411822.96817000,1364584026.29957090,0
2020-12-14,590.81000000,676.25000000,575.60000000,638.18000000,6936775.71090000,2020-12-20 23:59:59.999,4398464689.99192630,3787771,3439853.25073000,2179766675.77379120,0
2020-12-21,638.10000000,717.13000000,551.28000000,685.11000000,7473808.93661000,2020-12-27 23:59:59.999,4690669745.58146140,4407111,3720060.66880000,2336967731.90747920,0
2020-12-28,685.10000000,1011.07000000,681.04000000,978.28000000,9447316.98620000,2021-01-03 23:59:59.999,7400088411.24816160,6041708,4787013.92109000,3752654244.20049580,0
2021-01-04,978.33000000,1348.33000000,890.00000000,1254.25000000,16846289.41780000,2021-01-10 23:59:59.999,19133523177.28914550,11730126,8435712.67095000,9592331982.14816950,0
2021-01-11,1254.24000000,1298.00000000,915.00000000,1232.45000000,14328078.05481000,2021-01-17 23:59:59.999,16108359623.40547830,10347007,7139095.37800000,8037287373.59041680,0
2021-01-18,1232.50000000,1438.30000000,1042.31000000,1392.51000000,12291222.93088000,2021-01-24 23:59:59.999,15670886926.53634490,10355663,6181825.96422000,7888736367.90969200,0
2021-01-25,1392.19000000,1475.00000000,1207.00000000,1312.55000000,11196117.05291000,2021-01-31 23:59:59.999,14975230148.30553690,9652436,5583795.45253000,7473347483.69273700,0
2021-02-01,1312.45000000,1760.49000000,1269.99000000,1611.62000000,9848664.63364000,2021-02-07 23:59:59.999,15379183101.12081110,9165416,4940042.94523000,7713144722.71644940,0
2021-02-08,1611.46000000,1871.72000000,1563.89000000,1800.42000000,6832312.13113000,2021-02-14 23:59:59.999,12048068089.78218340,7325462,3410350.14510000,6016364026.68507660,0
2021-02-15,1800.03000000,2042.34000000,1655.67000000,1933.53000000,6415195.21066000,2021-02-21 23:59:59.999,12036952424.79775990,7041361,3206965.17887000,6023323791.13555740,0
2021-02-22,1933.54000000,1936.29000000,1293.18000000,1419.18000000,10465746.31715000,2021-02-28 23:59:59.999,16352841616.94079440,10070711,5112138.83416000,7987737558.89280710,0
2021-03-01,1418.67000000,1734.16000000,1409.91000000,1726.16000000,6929607.56181000,2021-03-07 23:59:59.999,10805341301.25666300,7673031,3500553.65031000,5463214620.03343620,0
2021-03-08,1726.46000000,1944.30000000,1664.96000000,1848.10000000,6286994.50162000,2021-03-14 23:59:59.999,11360467111.44042710,8081702,3111252.38183000,5620393212.38098790,0
2021-03-15,1848.10000000,1891.76000000,1711.68000000,1782.98000000,4470159.77967000,2021-03-21 23:59:59.999,8033959244.43945710,6336703,2229506.50859000,4007207063.98038660,0
2021-03-22,1783.23000000,1807.51000000,1536.92000000,1687.01000000,3923684.95499000,2021-03-28 23:59:59.999,6552937560.79053160,4987120,1947884.50445000,3253740843.75354890,0
2021-03-29,1687.16000000,2146.00000000,1677.85000000,2075.69000000,4835867.42050000,2021-04-04 23:59:59.999,9385410342.40368570,6883371,2438024.20999000,4728419893.32845840,0
2021-04-05,2075.70000000,2200.00000000,1930.01000000,2151.36000000,4226761.72748000,2021-04-11 23:59:59.999,8784130702.74009560,6846401,2099123.56818000,4363707905.29304130,0
2021-04-12,2151.42000000,2548.29000000,1946.80000000,2235.64000000,6115364.25272000,2021-04-18 23:59:59.999,14079892572.96524260,10255180,3052335.47065000,7032509390.70216940,0
2021-04-19,2235.65000000,2644.47000000,2055.00000000,2320.49000000,9598920.80397000,2021-04-25 23:59:59.999,22178377683.63349090,13279982,4787580.32108000,11070021480.44650680,0
2021-04-26,2320.44000000,2985.00000000,2303.64000000,2949.56000000,5669052.50080000,2021-05-02 23:59:59.999,15256591803.14196040,10027247,2884928.76823000,7767135848.12620090,0
2021-05-03,2949.33000000,3983.65000000,2949.32000000,3923.95000000,8141949.96585000,2021-05-09 23:59:59.999,28213988647.85878410,15883334,4092530.07838000,14180492573.27404730,0
2021-05-10,3923.95000000,4372.72000000,3343.06000000,3582.10000000,9789006.91047000,2021-05-16 23:59:59.999,38338792200.10492460,19272185,4812461.89878000,18864937355.41507800,0
2021-05-17,3581.81000000,3587.06000000,1728.74000000,2096.39000000,17769636.20886000,2021-05-23 23:59:59.999,46925946627.06896930,24743175,8711575.33258000,23059542818.80329430,0
2021-05-24,2096.63000000,2910.00000000,2079.94000000,2385.98000000,11069936.93243000,2021-05-30 23:59:59.999,28023163391.55219390,16325792,5501892.43546000,13935535167.67031150,0
2021-05-31,2385.82000000,2891.95000000,2271.44000000,2711.92000000,7305827.50833000,2021-06-06 23:59:59.999,19414934856.66179810,11391839,3615831.26390000,9610221678.53454040,0
2021-06-07,2711.92000000,2847.55000000,2256.22000000,2509.33000000,6934583.77736000,2021-06-13 23:59:59.999,17404896544.43947250,10026432,3428476.18084000,8608036917.62636730,0
2021-06-14,2509.33000000,2640.00000000,2040.68000000,2243.47000000,4489080.67414000,2021-06-20 23:59:59.999,10613448712.43990880,6887752,2186082.87491000,5170547753.54723690,0
2021-06-21,2243.49000000,2260.16000000,1700.48000000,1982.28000000,7332181.21578000,2021-06-27 23:59:59.999,13997004965.96190010,8901264,3603661.64830000,6882132414.75182950,0
2021-06-28,1982.27000000,2389.93000000,1960.52000000,2322.69000000,5406154.19687000,2021-07-04 23:59:59.999,11617513694.73051820,9061451,2736466.88184000,5880588071.13804690,0
2021-07-05,2322.69000000,2409.00000000,2046.51000000,2140.45000000,4693880.50963000,2021-07-11 23:59:59.999,10408289822.88635050,6931776,2338968.51730000,5187506656.21524700,0
2021-07-12,2140.54000000,2167.83000000,1844.45000000,1891.64000000,4066002.34167000,2021-07-18 23:59:59.999,7954932195.22633640,5495740,2007449.61396000,3927793496.14048560,0
2021-07-19,1891.65000000,2199.50000000,1706.00000000,2189.79000000,5095347.76508000,2021-07-25 23:59:59.999,10043866903.25855210,6997862,2525456.29947000,4990081074.98376120,0
2021-07-26,2189.82000000,2697.61000000,2150.50000000,2555.69000000,5641339.08902000,2021-08-01 23:59:59.999,13351540585.38571740,10325310,2841846.03336000,6728039630.78950840,0
2021-08-02,2555.50000000,3189.99000000,2442.32000000,3011.85000000,6778999.94652000,2021-08-08 23:59:59.999,18914335888.71513410,13791294,3408861.18630000,9527724333.86443410,0
2021-08-09,3011.84000000,3330.98000000,2893.23000000,3307.09000000,5111451.04173000,2021-08-15 23:59:59.999,16121890943.31644770,10863543,2539751.68205000,8017130397.67608310,0
2021-08-16,3307.35000000,3335.00000000,2950.00000000,3238.00000000,4086298.92413000,2021-08-22 23:59:59.999,12921563358.45949480,8695538,2001060.55363000,6330837859.00715080,0
2021-08-23,3238.00000000,3377.89000000,3053.30000000,3223.47000000,3117774.63185000,2021-08-29 23:59:59.999,10039639108.65248830,6498840,1540644.43800000,4964406327.36581600,0
2021-08-30,3223.47000000,4027.88000000,3143.00000000,3950.29000000,4245485.90100000,2021-09-05 23:59:59.999,15356154256.18571740,10184035,2147199.57701000,7768104968.01052210,0
2021-09-06,3950.28000000,3970.00000000,3005.00000000,3404.21000000,4465879.63069000,2021-09-12 23:59:59.999,15562327051.43400360,9206360,2189425.69388000,7630313355.65872060,0
2021-09-13,3404.30000000,3676.28000000,3108.49000000,3328.62000000,2944982.77670000,2021-09-19 23:59:59.999,10046677546.01284600,6563825,1448237.77560000,4943485026.26579200,0
2021-09-20,3328.57000000,3347.82000000,2652.00000000,3059.37000000,5153870.38815000,2021-09-26 23:59:59.999,15289932997.40404870,9438303,2531739.26479000,7515646175.09508780,0
