Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-11-23,560.03000000,623.00000000,550.12000000,569.50000000,4901899.36766000,2020-11-25 23:59:59.999,2911499776.29747250,2391764,2433880.98672000,1446381624.71491230,0
2020-11-26,569.38000000,577.14000000,481.00000000,537.52000000,4672033.63716000,2020-11-28 23:59:59.999,2420184638.76082520,2293879,2304601.39214000,1194220010.53266390,0
2020-11-29,537.50000000,635.70000000,530.32000000,585.26000000,4521141.73448000,2020-12-01 23:59:59.999,2667671330.39302310,2190725,2256027.98492000,1331544201.38821310,0
2020-12-02,585.26000000,623.44000000,565.82000000,567.24000000,3057679.36008000,2020-12-04 23:59:59.999,1825427138.04692740,1674787,1502628.18157000,897858375.76315740,0
2020-12-05,567.24000000,607.50000000,560.88000000,591.28000000,1802394.29492000,2020-12-07 23:59:59.999,1065217112.06552610,1100297,910669.46162000,538522172.34911660,0
2020-12-08,591.27000000,595.00000000,530.43000000,558.99000000,2410049.68921000,2020-12-10 23:59:59.999,1358275485.31143460,1335391,1176582.97008000,663245594.78558990,0
2020-12-11,558.99000000,595.00000000,535.50000000,590.70000000,2000630.19786000,2020-12-13 23:59:59.999,1123547343.25563190,1081174,998443.85716000,560842080.56270050,0
2020-12-14,590.81000000,640.00000000,575.60000000,637.18000000,2247870.59795000,2020-12-16 23:59:59.999,1347662646.72961530,1191470,1151545.55242000,690739384.31718140,0
2020-12-17,637.18000000,676.25000000,625.76000000,658.03000000,3864946.88452000,2020-12-19 23:59:59.999,2517692757.61036330,2091120,1893399.12298000,1233400984.24454190,0
2020-12-20,658.05000000,661.39000000,588.00000000,636.45000000,2586060.65062000,2020-12-22 23:59:59.999,1621189964.19406320,1549715,1269747.11157000,796068898.37909820,0
2020-12-23,636.41000000,638.44000000,551.28000000,626.82000000,2893152.85766000,2020-12-25 23:59:59.999,1747376328.20450760,1774385,1426300.98737000,861961318.58167460,0
2020-12-26,626.78000000,748.09000000,615.26000000,730.41000000,4445708.04942000,2020-12-28 23:59:59.999,3035651024.32324480,2549469,2251411.25601000,1538546419.01003090,0
2020-12-29,730.40000000,758.74000000,689.20000000,736.42000000,2978826.03742000,2020-12-31 23:59:59.999,2176694039.63865100,2136125,1489832.74641000,1089249170.80592100,0
2021-01-01,736.42000000,1011.07000000,714.29000000,978.28000000,4841336.55612000,2021-01-03 23:59:59.999,4042956086.12110410,2944306,2464691.06386000,2059422476.54331820,0
2021-01-04,978.33000000,1213.00000000,890.00000000,1208.42000000,9342143.20863000,2021-01-06 23:59:59.999,9885946604.51625410,6039253,4691934.58854000,4971429952.71332870,0
2021-01-07,1208.75000000,1304.37000000,1065.00000000,1276.00000000,5552966.85914000,2021-01-09 23:59:59.999,6729784720.36512930,4253387,2763985.77705000,3354698454.33955390,0
2021-01-10,1276.00000000,1348.33000000,915.00000000,1050.16000000,8322609.34733000,2021-01-12 23:59:59.999,9299452934.49806620,5511724,4095866.50791000,4584423991.32058030,0
