symbol,orderId,orderListId,clientOrderId,price,origQty,executedQty,cummulativeQuoteQty,status,timeInForce,type,side,stopPrice,icebergQty,time,updateTime,isWorking,origQuoteOrderQty
TRXBUSD,368056,-1,fuNHYBTXTheRoGm1wse4xi,0.06189,90000.0,90000.0,5203.029098,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650118641177,1650118641177,True,0.0
TRXBUSD,368080,-1,USXKPcj2VpNmreRsp6eAqb,0.06189,20508.5,20508.5,1128.718034,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650118700236,1650118700236,True,0.0
TRXBUSD,368100,-1,SDgI0KHffRu1LE2jC0GYC5,0.06188,80736.0,80736.0,4789.063324,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650118759241,1650118759241,True,0.0
TRXBUSD,368122,-1,pnNS9TTMeY6QDeuUL2rfMi,0.06187,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650118821004,1650118821004,True,0.0
TRXBUSD,368123,-1,BcAXuL5hdDCmm9tHzZdgX4,0.06187,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650118821712,1650118821712,True,0.0
TRXBUSD,368124,-1,EOw35NvhQEzjfEH1ziLurO,0.06187,11244.6,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650118822420,1650118822420,True,0.0
TRXBUSD,368125,-1,hb8lrStwDJlX7nliC99C8K,0.06188,80014.8,80014.8,4771.305398,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650118881362,1650118881362,True,0.0
TRXBUSD,368145,-1,AycGIYhpAdcpbqMwOM0Wim,0.06188,1438.5,1438.5,82.58448,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650118941496,1650118941496,True,0.0
TRXBUSD,368148,-1,X1B17NsSQr6xovbePqolap,0.06191,26636.7,26636.7,1590.454951,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650119000124,1650119000124,True,0.0
TRXBUSD,368171,-1,d2zn9KWxyJDCMzTVChAL8V,0.06194,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119061591,1650119061591,True,0.0
TRXBUSD,368172,-1,gqFUuWbEvzFYgPBcaiK09D,0.06194,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119062300,1650119062300,True,0.0
TRXBUSD,368173,-1,YvGWD7VWWMjgjRKVqxhwNu,0.06194,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119063009,1650119063009,True,0.0
TRXBUSD,368174,-1,AMYjhtP480z2EHrn2IB0Bv,0.06194,29334.5,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119063715,1650119063715,True,0.0
TRXBUSD,368175,-1,g0WzVMI80AvKb6DjOGbgoN,0.06191,19931.9,19931.9,1195.314337,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650119121058,1650119121058,True,0.0
TRXBUSD,368184,-1,qL96yTGYOWXWKqsFW5Ipzl,0.06192,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119181197,1650119181197,True,0.0
TRXBUSD,368185,-1,CyXBwd7XUDKMlXbRZh95dv,0.06192,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119181904,1650119181904,True,0.0
TRXBUSD,368186,-1,oFtR2I6yS8UgVoPgAkcllg,0.06192,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119182610,1650119182610,True,0.0
TRXBUSD,368187,-1,3vFMeA0GsEPJ7WaQ8mlq2W,0.06192,49266.5,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119183320,1650119183320,True,0.0
TRXBUSD,368188,-1,2LrjA2JFkyiLoPWFxbBbwz,0.06196,90000.0,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650119246836,1650119246836,True,0.0
