asset,free,locked,time,amount,price,values
BNB,71.43,0.0,1650116897705.523,71.43,414.81287794,29630.083871254203
BTC,1.262275,0.0,1650116897705.523,1.262275,40400.76796865,50996.87938762768
BUSD,44053.39093775,0.0,1650116897705.523,44053.39093775,1.0,44053.39093775
ETH,8.0157,0.0,1650116897705.523,8.0157,3636.60251868,29149.91480898328
LTC,0.0,0.0,1650116897705.523,0.0,9109.0,0.0
TRX,0.1,0.0,1650116897705.523,0.1,0.02008,0.002008
USDT,10000.0,0.0,1650116897705.523,10000.0,1.0,10000.0
XRP,0.0,0.0,1650116897705.523,0.0,0.81,0.0
BNB,71.43000000,0.00000000,1650117016432.607,71.43,414.73737728,29624.6908591104
BUSD,44053.39093775,0.00000000,1650117016432.607,44053.39093775,1.0,44053.39093775
USDT,10000.00000000,0.00000000,1650117016432.607,10000.0,1.0,10000.0
