symbol,orderId,orderListId,clientOrderId,price,origQty,executedQty,cummulativeQuoteQty,status,timeInForce,type,side,stopPrice,icebergQty,time,updateTime,isWorking,origQuoteOrderQty
ETHBUSD,1981510,-1,e47ZVp5PojnmxAgSKu16t5,3073.1,0.19784,0.19784,395.87784,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650484338026,1650484338026,True,0.0
ETHBUSD,1981511,-1,7FnZHu3QAsnsGH1k9L2BW2,3069.49,0.12788,0.12788,255.88788,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650484639064,1650484639064,True,0.0
ETHBUSD,1981512,-1,Ua6Y4JKnKFfGPrfBiE1WhL,3071.65,3.9554,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650484698609,1650484698609,True,0.0
ETHBUSD,1981513,-1,2vpu8r5Czobs8IOFtbM9Co,3070.52,0.09417,0.09417,188.43417,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650484816964,1650484816964,True,0.0
ETHBUSD,1981515,-1,cVrhYCYdOlV69aI0qrYLiK,3074.19,4.04957,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650484879484,1650484879484,True,0.0
ETHBUSD,1981516,-1,YkNiSzqxdcZUrEL1jabT8a,3071.22,0.03044,0.03044,60.91044,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650484941489,1650484941489,True,0.0
ETHBUSD,1981517,-1,ztaYhavA1kgYCeDvFCHcQf,3069.67,0.00481,0.00481,9.62481,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650485057790,1650485057790,True,0.0
ETHBUSD,1981518,-1,7x8CtWcykskzAeWGZPTnbB,3080.53,4.08481,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650485112981,1650485112981,True,0.0
ETHBUSD,1981519,-1,kjgsv4pHnFADGY384dW0TM,3070.49,0.01244,0.01244,24.89244,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650485173273,1650485173273,True,0.0
ETHBUSD,1981520,-1,3BVgWPqmXq371sVkFQyZO2,3070.9,4.09726,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650485238296,1650485238296,True,0.0
ETHBUSD,1981521,-1,Q2BCKgPobHsa5hSi01iLf1,3070.32,4.09726,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650485301498,1650485301498,True,0.0
ETHBUSD,1981523,-1,zrXFlj3HNlDAQZMsEpsFqu,3070.47,0.00373,0.00373,7.46373,FILLED,GTC,LIMIT,BUY,0.0,0.0,1650485359550,1650485359550,True,0.0
ETHBUSD,1981524,-1,4op26TC9C7TUfcYKsbUPE4,3069.21,4.10099,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650485473251,1650485473251,True,0.0
ETHBUSD,1981525,-1,BayhDCZGqFaQgYthCoP6PK,3073.93,4.10099,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650486918000,1650486918000,True,0.0
ETHBUSD,1981526,-1,1DVceSqn965jugmlPNlAnG,3074.66,4.10099,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650487219667,1650487219667,True,0.0
ETHBUSD,1981527,-1,0P9P2UFjz6renIgpmXt2mj,3075.1,4.10099,0.0,0.0,NEW,GTC,LIMIT,SELL,0.0,0.0,1650487523385,1650487523385,True,0.0
ETHBUSD,1981529,-1,Ubm9vtlYnYU7EE077LCYB4,2773.12000000,4.10099000,0.00000000,0.00000000,NEW,GTC,LIMIT,SELL,0.00000000,0.00000000,1650489020483,1650489020483,True,0.00000000
